age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
39,7,-1.0636107451560883,9,1.1347387637961643,4,1,1,4,1,0.14845289521747937,-0.21665952703259014,-0.03542944697277691,39,0
50,6,-1.0087070008321521,9,1.1347387637961643,2,4,0,4,1,-0.14592048355885345,-0.21665952703259014,-2.222153121346258,39,0
38,4,0.2450785047947841,11,-0.4200596240159423,0,6,1,4,1,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,39,0
53,4,0.4258013560422531,1,-1.1974588179219956,2,6,0,2,1,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,39,0
28,4,1.4081757204012344,9,1.1347387637961643,2,10,5,2,0,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,5,0
37,4,0.8982009411562795,12,1.523438360749191,2,4,5,4,0,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,39,0
49,4,-0.2803583815660748,6,-1.974858011828049,3,8,1,2,0,-0.14592048355885345,-0.21665952703259014,-1.979183824193649,23,0
52,6,0.18819462542965676,11,-0.4200596240159423,2,4,0,4,1,-0.14592048355885345,-0.21665952703259014,0.3695193816149048,39,1
31,4,-1.3642786185159013,12,1.523438360749191,4,10,1,4,0,1.761142380602081,-0.21665952703259014,0.7744682102025865,39,1
42,4,-0.28735043735745786,9,1.1347387637961643,2,4,0,4,1,0.5552135345201951,-0.21665952703259014,-0.03542944697277691,39,1
37,4,0.8591856488135755,15,-0.03136002706291564,2,4,0,2,1,-0.14592048355885345,-0.21665952703259014,3.2041611817286766,39,1
30,7,-0.4593284817005277,9,1.1347387637961643,2,10,0,1,1,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,19,1
23,4,-0.6395776164309653,9,1.1347387637961643,4,1,3,4,0,-0.14592048355885345,-0.21665952703259014,-0.8453271041481403,39,0
32,4,0.14439479626493598,7,0.7460391668431378,4,12,1,2,1,-0.14592048355885345,-0.21665952703259014,0.7744682102025865,39,0
40,4,-0.6443147816012791,8,0.35733956989011106,2,3,0,1,1,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,0,1
34,4,0.5278019964894485,5,-2.363557608781076,2,14,0,0,1,-0.14592048355885345,-0.21665952703259014,0.3695193816149048,26,0
25,6,-0.12337820215221823,11,-0.4200596240159423,4,5,3,4,1,-0.14592048355885345,-0.21665952703259014,-0.4403782755604586,39,0
